France,English
divague,rambling
tanger,tangier
stoner,stoner
soutenons,let's support
voltaire,Voltaire
kal,kal
interagir,interact
pleurerais,would cry
assistera,attend
pythagore,pythagoras
baby-sitters,baby-sitters
muscade,nutmeg
persuade,persuades
valides,valid
pittman,pittman
cognes,spine
zale,zale
horowitz,Horowitz
ecarte,gap
cami,truck
nantucket,nantucket
saki,saki
allende,allende
haches,ax
maharadjah,Maharadjah
tueriez,would kill
diminuent,decrease
arima,Arima
dépravation,depravity
préoccupent,concern
bon.,Well.
locksley,locksley
plouf,plouf
éprouvez,feel
performant,efficient
mamelon,nipple
inconscience,unconsciousness
pliez,Bend
visionner,view
stériliser,sterilize
allégresse,joy
griffer,scratch
ressaisissez-vous,rehash
schizo,schizo
gorgées,sip
recommençait,recommented
gen,gen
veillent,watch
da',da '
lain,horny
enlevez-lui,remove him
fulcrum,fulcrum
aiguiser,sharpen
viens-en,come on
désirons,desire
recherchant,looking for
majoritaire,majority
plants,plants
repensais,redesigned
temporelles,temporal
oncologie,oncology
tremblante,trembling
plombiers,plumbers
lear,Lear
camillo,Camillo
courrait,would run
amène-les,bring them
étonnants,amazing
instinctivement,instinctively
salariés,employees
trombe,rush
citadins,city ​​dwellers
gicler,squirt
factory,factory
choisisses,chosen
bienheureux,blessed
extraordinairement,extraordinarily
bolin,bolin
bb,baby
lèche-bottes,boost
chimères,chimeras
brûlerai,will burn
goo,goo
voltron,voltron
ignorions,ignore
warden,warden
rainey,rainey
dutton,dutton
gee,gee
assumé,assumed
réaliseront,will realize
démantelé,dismantled
rhumatismes,rheumatism
surgissent,arise
illustration,drawing
esperais,hoped
lagann,Lagann
miley,miley
échangée,exchanged
réceptif,receptive
ftl,ftl
elkins,Elkins
spontanéité,spontaneity
fracturée,fractured
éviterait,would avoid
relayer,relay
amicalement,friendly
environnemental,environmental
gargouille,gargoyle
armoires,cupboards
réagisse,react
conquise,conquered
yukiko,yukiko
intensifier,intensify
irrecevable,inadmissible
panthéon,pantheon
books,books
pompéi,pompéi
kyla,kyla
acharner,being furious
pimenter,Spice up
arrière-grand-mère,great grandmother
magma,magma
digger,digger
revere,rever
grillons,crickets
apaisé,calm
entraînez,Train
tish,tish
chargeurs,chargers
farm,farm
obligeant,compulsory
sisters,sisters
paine,paine
entassés,piled up
ozu,ozu
arréter,Stop
haillons,rags
dédicacer,dedicate
saperlipopette,saperlipopette
sigma,sigma
gyeong,gyeong
comic,comic
déposera,will deposit
rapportée,reported
goûtes,tastes
incohérences,inconsistencies
encas,in case
ensanglantée,bloody
redouté,feared
pivot,pivot
sita,sita
sicilien,Sicilian
twister,twist
emmena,led
baser,base
karel,karel
accabler,overwhelm
sanglantes,bloody
fillmore,fillmore
near,near
métaphysique,metaphysical
juniors,juniors
respectant,respecting
dirigerai,will lead
enterrera,will bury
télémétrie,telemetry
bluetooth,bluetooth
quadrille,quadrille
emmèneront,will take
débarrassez-moi,rid me
habitueras,will usual
ammoniaque,ammonia
eps,EPS
hésiterais,would hesitate
delacroix,Delacroix
11h30,11:30 am
canterbury,canterbury
inaugurer,inaugurate
grand-mere,Grandmother
manfred,manfred
remplira,will fill
comparés,compared
thoracotomie,thoracotomy
isotopes,isotopes
est-t-il,is it
aménager,arrange
flamingo,flamingo
barbes,beards
déformer,deform
clauses,clauses
restante,remaining
notable,notable
warriors,warriors
bordélique,messy
constitutionnel,constitutional
silencieuses,silent
font-elles,do they do
bestiaux,cattle
fidji,Fiji
étonnez,surprise
15h30,3.30 p.m.
trempette,dip
bienveillante,caring
infâmes,infamous
démis,dismayed
fairchild,fairchild
rappeliez,recall
koji,koji
asthmatique,asthmatic
tignasse,mop
cesseront,will stop
oserai,dare
cheerios,cheerios
buffles,buffalo
visualise,visualize
étouffait,stifled
glissement,sliding
forceps,forceps
estimez,estimate
speak,speak
épauler,support
pow,pow
alessandro,Alessandro
immuable,unchanging
northern,northern
durand,Durand
emploient,employ
loupes,lanches
battras,battra
psychanalyste,psychoanalyst
reconduis,renewed
impeccables,impeccable
taliban,Taliban
subordonnés,subordinate
alignées,aligned
purdy,purdy
entree,hall
retrouvons-nous,Let's meet
capituler,capitulate
bourg,town
chuckie,chuckie
renny,renny
shû,shit
gonzalo,gonzalo
punissez,punish
masha,masha
koo,koo
lisons,read
enverras,will spray
répartir,divide
poserais,pose
installera,will install
éclate-toi,have fun
lotissement,subdivision
winchell,winchell
gouines,dykes
proust,Proust
fréquentent,frequent
cesserai,will stop
annules,cancellations
sautais,gauge
downtown,downtown
impliquerait,would imply
piquait,stung
nuremberg,nuremberg
cyrano,Cyrano
glissait,slipped
prentice,pant
nuria,Nuria
rafler,wreck
passez-lui,pass him
dupes,dupes
edwina,Edwina
ramènerait,would bring back
greffer,graft
fard,eyeshadow
apprêtent,applies
dégoûtez,disgust
winterfell,winterfell
acceptables,acceptable
émir,emir
pocahontas,pocahontas
click,click
itinérant,itinerant
tonino,tone
inaperçue,unnoticed
réparent,repair
frappeur,drummer
utilise-le,use it
ausculter,examine
pénètrent,penetrate
attrapons,attract
donjons,dungeons
pilleurs,looters
empiler,stack
fix,fixed
divulgation,disclosure
dicky,dicky
abîmes,abyss
excitait,excited
commandons,let's order
lance-roquettes,rocket launcher
prélude,prelude
xu,xu
poudres,powder
casernes,barracks
subira,will suffer
soignent,heal
représentée,represented
qiu,qiu
quad,quad
dad,dad
meublé,furniture
divines,divine
singulière,singular
habitues,habits
décodé,decoded
fèves,beans
jamaïcain,Jamaican
dinars,dinars
déterminant,determining
soufflait,blow
déshydratée,dehydrated
lego,lego
ambigu,ambiguous
astoria,Astoria
cooley,Cooley
ahn,ahn
pollué,polluted
paparazzis,paparazzi
nuisibles,harmful
hawaïenne,Hawaiian
enrhumé,enrhumée
scepticisme,skepticism
déchirant,heartbreaking
cinéastes,filmmakers
promettent,promise
pantins,puppets
absorption,absorption
inhabituels,unusual
bobos,sore
aristocrates,aristocrats
rumba,rumba
libérées,released
sélective,selective
folsom,folsom
maniaques,maniacs
prétendais,pretended
vécues,lived
cligné,cliny
creusant,digging
invalidité,disability
espéraient,hoped
hutton,hutton
osgood,osgood
engouement,craze
rusés,cunning
rassis,stale
clennam,clennam
déléguer,to delegate
massue,club
ex-femmes,ex-female
fructueuse,fruitful
brahms,brahms
transportez,transport
sorbet,sorbet
attirerait,would attract
sack,sack
développements,developments
inge,inge
cliquer,to click
tnt,tnt
anale,anal
opera,opera
battiez,beaten
pennies,pennies
éventuelles,possible
kelton,kelton
20h00,8 p.m.
lessivé,laundry
arithmétique,arithmetic
appropriées,appropriate
mate-moi,Mate me
menacées,threatened
dio,dio
pharmacies,pharmacies
gisement,deposit
bizarrerie,quirk
fell,fell
séparatiste,separatist
réformer,reform
cacherais,hidden
déjá,already
baz,baz
kamal,kamal
magellan,magellan
bifteck,steak
surveillaient,watched
exterminés,exterminated
flanche,flank
manoeuvrer,maneuver
urgents,urgent
grodd,grodd
somnambulisme,somnambulism
templiers,templars
gouter,to taste
confondent,confuse
croyais-tu,Did you believe
incarnée,embodied
évaporé,evaporated
myspace,myspace
saboteur,saboteur
quadruple,quadruple
toshi,Toshi
tip,tip
brelan,pump
trombones,trombones
nageoires,fins
toole,tole
gussie,Gussia
combattrai,will combat
colères,anger
scarrans,scarrans
listé,listing
pénétrant,penetrating
sé,Sé
épis,eg
surmonte,overcide
logés,housed
godasses,shoes
planquée,hidden
judée,Judaea
dunder,dunder
bayliss,bayliss
dover,dover
désespérer,to despair
year,Year
semper,semper
bâteau,boat
read,read
contenaient,contained
loeb,loeb
goupille,pin
plaignais,complaint
rétrograde,retrograde
auditif,auditory
import,import
meat,Meat
clemente,clement
excuseras,excuse
cartonné,cardboard
éduquée,educated
lauréat,winner
déflecteur,deflector
améliorera,will improve
deux-trois,two three
canicule,heat wave
sulfurique,sulfuric
fabien,Fabien
fordham,fordham
identifiées,identified
affrontera,will face
ravit,ravit
quartz,quartz
grandissait,grew up
ronflement,snoring
gar,gar
cueillette,picking
prononces,pronounced
splash,splash
dire-,say-
goddard,goddard
repassage,ironing
glas,death knees
etoiles,stars
peña,peña
décririez-vous,would you describe
colibri,humming-bird
cocaine,cocaine
jem,Jem
hk,hk
linéaire,linear
détournez,divert
visez-moi,target me
éternué,sneezed
compressions,compressions
coloniale,colonial
affinités,affinities
evitons,Evitons
auditoire,audience
hume,hume
entendrons,will hear
boutonneux,spotty
fei-hung,fei-hung
revendeurs,resellers
hilarante,hilarious
abatte,slaughter
adrienne,Adrienne
paraîtrait,would appear
pleuvra,will cry
écouteras,listen
défilent,scroll
narns,narns
harcèles,harass
pratiquez,practice
décodeur,decoder
krystle,krystle
grim,grim
caïds,caïds
bocaux,jars
anticipation,anticipation
blindées,shielded
toqué,cracked
coulée,casting
captes,captures
blanchit,whitens
haiti,Haiti
lehman,lehman
effie,tight
sévit,prevail
molette,scroll wheel
gâchent,spoil
conseillerais,would advise
yamato,yamat
affranchis,freed
bubble,bubble
moitiés,halves
autonomes,autonomous
rda,GDR
invitais,invited
ramene,brings back
avertit,warn
jugerai,will judge
obligeance,obligence
watt,watt
ventouse,suction cup
capillaires,capillaries
débardeur,tank top
terrifiants,terrifying
enterrez,bury
braqués,skewed
boy-scout,Boy-Scout
contrôlant,controlling
tami,Tami
psychothérapie,psychotherapy
grigori,grigori
sad,sad
racontez-vous,tell yourself
saurais-tu,would you know
omission,omission
puissiez-vous,Power
huff,huff
anti-douleurs,painkiller
quick,quick
étiqueté,labeled
enlevez-les,remove them
chambouler,upset
greek,Greek
huxley,huxley
inhibitions,inhibitions
zig,zig
oahu,oahu
moineaux,sparrow
teigne,ringworm
fentanyl,fentanyl
faire-part,announcement
fiévreux,feverish
veillait,watched
typhoïde,typhoid
jaquette,jacket
navales,naval
chaloupe,boat
recevant,receiving
jérémie,Jeremiah
commandés,orders
saoudiens,Saudis
adonis,Adonis
h.s.,H.S.
bismarck,bismarck
camino,camino
crevasse,crevasse
muppet,mupe
gsm,GSM
ishikawa,Ishikawa
attaché-case,case-attaché
planquez-vous,hide
instit,instit
préoccupait,concerned
constable,constable
human,human
traquait,tracked up
profitait,was enjoying
gertie,gerty
tricheuse,cheating
préfériez,preferred
montreront,will show
aisselle,armpit
époques,eras
gifles,slash
lacy,gap
abondante,abundant
gouverneurs,governors
lansing,lansing
déjeunons,lunch
taxer,tax
everglades,Everglades
loyalement,loyally
névrose,neurosis
mixage,mixing
ritals,ritals
mosley,mosley
ikea,ikea
éloignant,moving
exeter,exercise
séjours,stays
gâchons,gaga
hatcher,hatch
galen,Galen
courrais,run
épouvante,terrifying
dînes,dine
humoriste,humorist
agissais,act
multinationales,multinational
risquant,risking
adiós,Adiós
exilés,exile
obligatoires,compulsory
sous-fifre,subfiff
faillit,bankrupt
floues,blurred
taekwondo,taekwondo
ouvrirait,would open
mélo,melo
expositions,exhibitions
finis-le,Finish it
élans,impulse
compterais,will count
écrasées,crushed
gril,grill
criquets,locusts
trahirait,would betray
parfaire,perfect
bredouille,stunned
marocain,Moroccan
partielles,partial
c`est,it is
meeks,meeks
regarderez,will look
nuisance,nuisance
chffff,chffff
ètais,ètais
piazza,piazza
b.b.,B.B.
knights,knights
facial,facial
clash,clash
attachent,tie
croiseurs,cruisers
enfouie,buried
callisto,Callisto
prédécesseurs,predecessors
geils,geils
amortisseurs,shock absorbers
convaincs,convinced
banalités,banalities
torturent,torture
lauderdale,Lauderdale
salopette,overalls
dites-m',say-m '
visser,to screw
objectivement,objectively
mouch,mouch
décents,decent
18h00,6:00 p.m.
pointant,pointing
vécut,lived
horizontal,horizontal
affaiblie,weakened
dolls,dolls
haye,Hague
arretes,stop
codage,coding
reverrai-je,I will see again
karina,karina
outsider,outsider
hors-bord,outboard
reunion,meeting
intervalles,intervals
dégénérescence,degeneration
stryker,stryker
sije,if I
etranger,foreigner
bousillée,darkened
inachevée,unfinished
prusse,Prussia
k.c.,K.C.
pécan,pecan
amasser,pile up
débutantes,beginners
termines,terminals
dumbledore,Dumbledore
absorbée,absorbed
souk,souk
jingles,jingles
cortisone,cortisone
corpulence,corpulence
chirurgies,surgery
pesée,weighing
généré,generated
vérifiait,checked
cissy,cissy
voulons-nous,we want
gannon,gannon
préjudiciable,harmful
mouvementé,hectic
patriarche,patriarch
rebondissement,twist
tantinet,tantica
afflux,influx
alignez-vous,Align yourself
embaumement,embalming
driver,driver
myles,myles
amazon,Amazon
suivez-vous,Do you follow
inimaginables,unimaginable
giflée,slap
noa,Noa
vécus,lived
slick,Slick
torrance,torus
darken,darken
irisa,irisa
mioche,mioche
bombarde,bombard
tapin,tapin
mcneil,mcneil
cornemuse,bagpipe
stubbs,stubbs
endommagées,damaged
molesley,molesley
aplatir,flatten
impuni,unpunished
abba,abba
buzzer,buzzer
concurrente,competing
soûlé,drunk
essaie-le,try it
learn,Learn
muni,muni
narn,narn
gringalet,gringalet
il,he
obtiendrons,will get
osman,Osman
servirais,would serve
jetez-les,throw them away
sous-directeur,Assistant Director
mesurez,Measure
prometteurs,promising
glaciaire,glacial
kits,kits
interprètes,interpreters
blesserait,would hurt
dégueuler,disgust
aveuglement,blindly
pastrami,pastrami
alexandria,Alexandria
ignare,ignorant
ex-copain,ex boyfriend
mcphee,mcphee
donkey,Donkey
kenichi,Kenichi
regretterais,would regret
redeviennent,become again
nightmare,nightmare
razor,razor
pélican,pelican
josiah,josiah
eloignez,Eloigate
commentateur,commentator
ouistiti,marmoset
guet-apens,ambush
ajournement,adjournment
participait,participated
rickman,rickman
établissez,establish
lividité,lividity
dumont,dumont
encouragez,encourage
hokkaido,hokkaido
inventées,invented
buveurs,drinkers
réunissez,bring together
catalogues,catalogs
pardonnés,forgiven
honduras,Honduras
amara,Amara
klara,klara
maniere,way
frapperais,would strike
blanchis,bleached
rabat,Rabat
jase,jase
diapos,slide
carne,carne
usher,usher
patriot,patriot
verité,truth
narration,narration
économisez,save
viendrez-vous,you will come
baldrick,baldrick
chatouilleux,tickling
hilly,hilly
botwin,bootwin
insensés,insane
kb,kb
tenterait,would try
alisha,Alisha
défiant,unbeatable
fantasque,fantastic
incluent,include
arrête-la,stop her
intouchables,untouchables
risible,laughable
éclates,flashes
épinglé,pin
soûls,drunk
p.c.,P.C.
emplit,implicit
délivrée,delivered
thêta,theta
chassais,hunt
marigold,husband
sig,sig
myrna,myrna
inouïe,incredible
dominent,dominate
métaphoriquement,metaphorically
dissidents,dissident
westerns,westerns
pouvais-tu,could you
comprises,including
honnete,honest
âge-là,age
pinto,pinto
mathers,mathers
irish,Irish
waco,waco
ternir,tarnish
hanley,hanley
pitoyables,pitiful
appliquez,Apply
murder,moder
hiérarchique,hierarchical
pèses,weighings
andouilles,andouilles
entendrais,would hear
répétée,repeated
bourges,bourges
ramadan,Ramadan
chiang,chiang
gradés,rank
avales,swallows
plonges,diving
dunphy,dunphy
tribbiani,tribbiani
lient,bind
préfèrerait,would prefer
angulaire,angular
marrier,marrier
orque,orca
wonderful,Wonderful
systématique,systematic
burr,burr
imaginiez,imagine
regardions,look at
morde,bite
distraits,distraits
libérant,releasing
accouru,rocked
jacks,jacks
glaciers,glacier
tâte,feel
pleuraient,cried
colisée,Coliseum
sut,knew
aveuglée,blinded
acupuncture,acupuncture
mfp,MFP
voulaient-ils,they wanted
noises,noise
occupez-vous-en,Do you take care of
mercis,thanks
kennish,Kennish
confère,confer
baiseur,fucking
turnbull,turnbull
monte-charge,climb
myron,myron
aramis,Aramis
florissante,flourishing
comestibles,edible
mijotez,simmer
convergence,convergence
signifié,signified
relevez-le,lift it up
lock,lock
baladais,baladais
stabilisée,stabilized
urge,emergency
attraperez,will catch
améliores,improvement
pippa,pippa
philadelphia,Philadelphia
cambrousse,cambrousse
sainement,healthy
flowers,flowers
collage,collage
enseignais,taught
déboussolé,confused
partance,leaving
fatales,fatal
scêne,stage
mol,mol
sténo,shorthand
papilles,taste buds
dirent,said
frôle,tab
rapporterait,would report
adelaide,Adelaide
échafaudage,scaffolding
engagera,will hire
stiller,stiller
kevlar,kevlar
braises,embers
possessif,possessive
mortiers,mortar
cabriolet,convertible
impertinence,impertinence
sape,sap
corporelles,bodily
hérisson,hedgehog
couillons,pellets
gicle,gicle
inactif,idle
lumineuses,bright
inversement,Conversely
réfléchirais,would think
noona,noona
dormeur,sleeper
bannon,banish
boise,wooded
dresden,Dresden
commenceras,will start
minutieuse,thoroughness
élargi,enlarged
spatule,spatula
larcher,the Archer
trilogie,trilogy
piégées,trapped
gehrig,gehrig
sympathisants,sympathizers
dolorès,dolorès
humpty,HUMPTY
vagabonde,vagabond
pruitt,Pruitt
essayions,essays
partageais,sharing
kibboutz,kibbutz
zheng,zheng
phantom,phantom
wave,wave
etudes,studies
fessier,buttocks
réunification,reunification
akemi,akemi
arrondissement,borough
cadavérique,cadaveric
paisley,paisley
fouiné,fucked
incompatibles,incompatible
servitude,servitude
réparerai,will repair
ellsworth,Ellsworth
silicon,silicon
jetaient,threw
galveston,Galveston
choquante,shocking
martienne,Martian
remets-la,put it back
subalterne,subordinate
proprios,owner
déchaînés,unleashed
huis,homemade
narcissisme,narcissism
natif,native
lissa,lissa
hlm,hlm
télékinésie,telekinesis
routeur,router
grimpent,climb
espèrais,hoped
crues,floods
immunisés,immune
gravitationnelle,gravitational
fûts,barrels
track,track
yutaka,yutaka
élaborée,elaborate
armee,army
sigmund,sigmund
ramone,chopper
bondée,crowded
zodiaque,zodiac
tran,trank
soignait,treated
garde-meuble,furniture storage
insinué,insinuated
fouler,set off
catastrophiques,catastrophic
pistache,pistachio
tricycle,tricycle
météores,meteor
émeut,move
pourtoi,for you
régente,regent
humiliés,humiliated
suk,suk
synthétiseur,synthesizer
guam,Guam
transylvanie,transylvania
traite-moi,treat me
kareem,kareem
spinal,spinal
trivial,trivial
ions,ions
vigilante,vigilant
harengs,herring
who',who '
mustangs,Mustangs
hani,hani
dissipé,dissipated
cierges,candles
bigelow,bigelow
accidenté,accidentally
saint-pétersbourg,Saint PETERSBOURG
volerais,steaper
possédais,owned
guess,guess
crimson,crimson
criminologie,criminology
écrives,writings
retiens-le,hold it back
astaire,astute
réjouissances,festivities
foxy,foxy
chênes,Oak trees
pac,pac
oublierait,would forget
aviateurs,aviators
racailles,scum
pied-de-biche,crowbar
spirituelles,spiritual
physiciens,physicists
ballot,stammer
quon,that we
gente,gender
renzo,Renzo
échapperez,will escape
incluse,included
siri,siri
attraperont,will grab
criquet,locust
eeg,EEG
tripoli,Tripoli
texans,Texans
peignez,paint
chubby,chubby
titiller,tickle
jarl,jarl
pompé,pump
aquatiques,aquatic
glue,glue
arnaqueurs,scammers
pelvis,pelvis
rotule,ball joint
décorée,decorated
cinco,cinco
étreint,embraced
attends-nous,wait for us
irresponsables,irresponsible
maserati,Maserati
obélix,obelix
littéraires,literary
retirant,removing
jointe,attached
étoilée,starry
verna,verna
november,November
vir,vir
profilage,profiling
avançant,advanced
reconstitué,reconstructed
amochée,cumbersome
bouddhistes,Buddhists
bohémienne,Bohemian
repassera,will go back
rejoindrez,join
mega,mega
consumé,consumed
regagne,regain
grossesses,pregnancies
benjy,benjy
sommation,summons
repousses,regrowth
statu,status
lemieux,the best
arcs-en-ciel,Rainbows
poto,poto
rattrapez-le,catch it
lok,lok
mcgarry,mcgarry
ashby,Ashby
ophelia,ophelia
pickup,pickup
secnav,dry
servirez,Serve
bidet,bidet
mousser,foam
terminons,Let's finish
inquiètez,worried
rhoda,rhoda
joigne,join
galt,Galt
tar,Tar
phénoménale,phenomenal
cayenne,cayenne
movie,movie
racontiez,tell
hasta,hasta
matthias,Matthias
castille,Castile
traumas,traumas
immorale,immoral
hump,hump
henrickson,Henrickson
trainait,trained
photoshop,Photoshop
promenant,promising
behind,behind
publiées,published
réglées,paid
examinant,examining
harald,harald
duels,duels
zob,zob
copieur,copier
chopes,mug
buford,BUFORD
tachée,stained
imprévue,unexpected
écrabouiller,crush
africaines,African
nest,nest
yellowstone,Yellowstone
attester,attest
sonic,sonic
tresse,braided
renvoies,referrals
piranhas,piranhas
fleurit,flowery
dub,dub
coloration,coloring
toupie,spinning
admires,admired
plafonds,ceilings
névrosée,neurotic
ulcères,ulcers
suspend,suspension
caron,because we
suki,suki
rugir,roar
carnivores,carnivores
desperate,desperate
soph,soph
16h00,4 p.m.
machination,machination
cherchés,cheated
oates,oate
infligées,inflicted
boyer,boyer
gardez-moi,keep me
campé,camped
angoissant,scary
pollard,pollard
tailleurs,tailors
applaudissent,applaud
sedan,sedan
prends-ça,take this
hormonal,hormonal
soren,soren
ez,ez
distillerie,distillery
annapolis,Annapolis
mun,mun
nuys,nuys
michiko,Michiko
pulaski,pulaski
descentes,descent
remi,remind
ramènerons,will take off
côtière,coastal
souligne,highlighted
attestation,certificate
trouducs,hole
mangeuse,eating
sakamoto,sakamoto
égaliser,equalize
madre,Madre
dentition,dentition
sub-way.fr,Sub-way.fr
douées,gifted
cachons-nous,Let's hide
émerveillement,wonder
fêtez,celebrate
stream,stream
pino,pine
divergences,divergences
sasaki,sasaki
bâillon,gag
hefner,hefner
effrayait,scared
éblouir,dazzle
dyke,dyke
mielleux,honeyed
hasch,hash
minbari,minbari
ià-dedans,Ià-dedans
arroyo,arroyo
fraternités,fraternities
discipliné,discipline
pfeiffer,pfeiffer
généraliste,general practitioner
rapaces,raptors
freeze,freeze
bouffées,puff
douloureusement,painfully
gentry,gentry
gillespie,gillespie
humiliante,humiliating
cobain,coban
filiales,subsidiaries
expliquerais,would explain
virtuose,virtuoso
trompiez,misleading
infinité,infinity
contemporaine,contemporary
anéantissement,annihilation
rixe,brawl
loren,loren
bouddhisme,Buddhism
snap,snap
enfler,swell
insère,insert
cordy,cordy
bottines,ankle boots
asgards,asgards
gastro,gastro
interet,interest
mannequinat,modeling
ruches,hives
relis,reread
crisp,crisp
scavo,scavo
porta,porta
thyroïde,thyroid
sympathisé,sympathized
déployés,deployed
oska,oska
utilisez-vous,Do you use
sursaut,startle
remémorer,remember
emmerdeurs,Breeders
mucus,mucus
farah,farah
choppé,chopped
majorette,cheerleader
irritée,irritated
lovely,lovely
autrichiens,Austrian
respectifs,respective
ltd,Ltd
curzon,curzon
rube,rub
super-pouvoirs,Super powers
auf,auf
sonnettes,bells
shanti,shanty
augusto,Augusto
bene,bene
blow,work
polygamie,polygamy
moucher,fly
avisera,will notify
humvee,humvee
postier,postman
donneuse,donor
puise,draw
considérations,consideration
aryen,Aryan
rentraient,returned
saori,Saori
subterfuge,subterfuge
ralentissent,slow down
montants,amounts
gravi,gravi
toubibs,toubibs
vec,vec
tuteurs,tutors
tibbs,tibbs
curie,curia
marshmallow,marshmallow
iggy,iggy
chrétienté,Christendom
rothman,Rothman
rayanne,Rayanne
mettez-en,put it
clandestinité,clandestinity
roan,roan
étouffement,suffocation
vingt-sept,twenty seven
envoie-les,Send them
dramatiser,dramatize
implantation,implementation
convertie,converted
diagnostics,diagnostics
phryné,phryné
conteur,storyteller
conduiras,will
détachez-le,Detach it
helmut,helmut
fiat,fiat
broderick,embroidery
tactile,tactile
séparant,separating
commencerait,would start
détruirons,destroy
traumatisante,traumatic
reportée,postponed
déployée,deployed
renégocier,renegotiate
inspires,inspires
malveillance,maliciousness
smoke,smoke
accueillera,will welcome
pensent-ils,they think
aliénés,alienated
bitume,bitumen
gagnées,won
17h00,5 p.m.
inadvertance,inadvertentness
injustifiée,unjustified
habillait,dressed
dureté,hardness
bp,COP
parris,parris
stimulants,stimulants
écrasez,crush
gim,gim
remord,remorse
anvers,Antwerp
problemo,problemmo
entrevoir,glimpse
expliqueras,will explain
chichis,shocking
ruisseaux,streams
prunelle,apple
pacifiquement,peacefully
doakes,doake
indemnes,unhappy
faché,angry
grog,Grog
incompatible,incompatible
dénoncés,denounced
ridiculement,ridiculously
fornell,Fornell
morflé,morflored
parenthèses,parentheses
cacherait,would hide
kryptonien,kryptonian
tamura,tamura
sie,sie
teeger,teer
sofie,soffie
effectués,carried out
embarquez-le,embed
pm,PM
promicine,prominent
toutous,doggie
gregorio,Gregorio
biologiquement,biologically
racolage,soliciting
katana,Katana
ramassent,pick up
rejoignes,joined
embarassant,embarassing
stinson,Stinson
takezo,takezo
mojito,Mojito
défoule,shadow
ionique,ionic
merci.,thank you.
moulage,cast
jardiniers,gardeners
largo,largo
germe,germ
écoulés,elapsed
anka,anka
secoués,shaken
plagiat,plagiarism
brocante,flea market
écarts,gaps
appoint,backup
flanque,flank
roanoke,roanoke
dénominateur,denominator
vidés,emptiness
gouttières,gutters
situés,located
dorloter,pamper
rédacteurs,editors
brutaux,brutal
katerina,katerina
charades,charades
mariah,mariah
sismique,seismic
blaise,black
positionner,position
nugent,nugget
opus,opus
orienté,oriented
étroites,narrow
litt,litt
planétarium,planetarium
brûlaient,burned
pieuse,pious
rousses,redheads
leve,survey
localisez,LOCATE
censuré,censorship
sao,sao
outre-mer,overseas
eté,summer
hymen,hymen
soies,bristle
malnutrition,malnutrition
électoral,electoral
crevez,dig
ese,ESE
réalisatrice,director
hercules,Hercules
détendez,relax
berges,banks
engraisser,fatten
rollin,rollin
signant,signing
respectueuse,respectful
brio,brio
expérimentations,experiments
excelsior,Excelsior
rostov,rostov
suffise,sufficient
déroulera,will unfold
in-ha,in-ha
tears,tears
22h00,10 p.m.
végétalien,vegan
recueillie,collected
aménagé,Finished
rasseoir,rage
douaniers,customs officials
until,Until
enquêtrice,investigator
yuen,yuen
élevez,raise
renforcement,reinforcement
vinick,vinick
dédicacé,dedication
bande-annonce,trailer
précedemment,previously
restaure,restoring
rompus,broken
ajoutée,added
foutra,crazy
distinctement,distinctly
sook,sook
0h,0h
dûment,duly
zèbres,zebra
retenter,retry
mollari,mollar
chaudement,warmly
rassemblées,gathered
hébergé,hosted
raffinement,refinement
iguane,iguana
bavards,chatty
soudé,welded
ardu,arduous
chocolate,chocolate
évincé,ousted
rénové,renovated
veda,Veda
pôles,poles
employez,employ
armin,armin
tripoté,fiddling
illisible,illegible
embauchés,hired
matou,Matou
cuisinais,cook
roquettes,rockets
torsion,twist
réalisait,realized
délirante,delusional
apporterais,would bring
inattendus,unexpected
sous-entendus,implied
cantonais,Cantonese
hallucinogènes,hallucinogenic
piero,pine
surtension,surge
continuaient,continued
courageuses,courageous
embêtée,bothered
spin,spin
miro,miro
le,the
ouganda,Uganda
échine,spine
épaisses,thick
en-haut,at the top
incalculable,incalculable
espéce,species
décore,decorated
habillez,dress
trépied,tripod
playlist,playlist
vêtus,dressed
taniguchi,Taniguchi
ant,ant
abattent,shot down
pécheresse,sinner
sérotonine,serotonin
aboiement,bark
lueurs,glow
conduirait,would lead
bowden,bowden
granny,granny
polars,polar
péridurale,epidural
loués,rented
flous,blurring
lebron,James
chrétiennes,Christian
réfugiée,refugee
wills,Wills
répands,spread
combo,combo
sentinel,sentinel
layton,layton
j.-c.,J.-C.
méprisez,despise
dag,dag
provoques,provoking
parierai,will bet
fema,fema
h.g.,H.G.
voldemort,flight of death
foss,fossa
altruisme,altruism
sayuri,sayri
spaulding,spaulding
monogame,monogam
décidiez,decide
epps,EPPS
linux,linux
bottin,boot
sdl,SDL
reconnaissais,recognized
honorez,honor
bicoque,sham
va-tu,will you
sauterais,will jump
varier,vary
tripler,triple
prouve-moi,prove me
etape,stage
rancunière,resentful
idéalement,ideally
désespérant,hopeless
autorisant,authorizing
forcées,forced
ovide,ovid
leena,leena
entretenue,held
shaz,shaz
tap,tap
accepta,accepted
primate,primate
cuivres,brass
locations,rentals
intenter,bring back
sectes,sects
machado,machado
interroges,interrogation
connectées,connected
immunisée,immune
foutiez,Damn
concordance,concordance
ichiro,Ichiro
barrette,barrette
parfumées,flavored
scooby-doo,scooby-doo
conservée,preserved
biz,biz
regle,rule
percussions,percussion
zoya,zoya
dico,dico
graeme,graem
lucian,Lucian
runes,runes
postule,postula
